colour	x	y	clickSelects	fill
#7CAE00	0.851469565690918	0.372073882005431	Male.No	#7CAE00
#7CAE00	0.84454492022368	0.372872238047421	Male.No	#7CAE00
#7CAE00	0.88703781391748	0.221671643582257	Male.No	#7CAE00
#F8766D	0.433216480030255	0.344211940230294	Female.No	#F8766D
#F8766D	0.140511378899894	0.220878348177807	Female.No	#F8766D
#7CAE00	0.728233664550565	0.133626491424035	Male.No	#7CAE00
#7CAE00	0.607796099375595	0.129509452137757	Male.No	#7CAE00
#7CAE00	0.635080649602142	0.16505381625823	Male.No	#7CAE00
#C77CFF	0.575817839242518	0.679518110372803	Male.Yes	#C77CFF
#F8766D	0.284834065135907	0.135753777555444	Female.No	#F8766D
#C77CFF	0.785159643739462	0.699921579946848	Male.Yes	#C77CFF
#7CAE00	0.691890665837987	0.369158847596158	Male.No	#7CAE00
#C77CFF	0.670205236666582	0.891015691428699	Male.Yes	#C77CFF
#C77CFF	0.64945819652216	0.575153072872622	Male.Yes	#C77CFF
#C77CFF	0.71256231431934	0.904432332143188	Male.Yes	#C77CFF
#C77CFF	0.697532986375419	0.85725449652157	Male.Yes	#C77CFF
#7CAE00	0.83144241579893	0.256365696645596	Male.No	#7CAE00
#7CAE00	0.828180043873462	0.224692598577927	Male.No	#7CAE00
#F8766D	0.1914684494788	0.260051170364022	Female.No	#F8766D
#00BFC4	0.359549263322895	0.895973250354555	Female.Yes	#00BFC4
#7CAE00	0.615967973135412	0.210311037826944	Male.No	#7CAE00
#C77CFF	0.869212434034456	0.840197060765191	Male.Yes	#C77CFF
#7CAE00	0.717687681232664	0.268441142006354	Male.No	#7CAE00
#F8766D	0.221308877014301	0.289722735739567	Female.No	#F8766D
#00BFC4	0.218774705786597	0.699401084672321	Female.Yes	#00BFC4
#00BFC4	0.236572002738037	0.729527557353404	Female.Yes	#00BFC4
#F8766D	0.437725717201829	0.133822509680282	Female.No	#F8766D
#7CAE00	0.859233846464618	0.181528769687495	Male.No	#7CAE00
#C77CFF	0.693451211872426	0.641172214495865	Male.Yes	#C77CFF
#7CAE00	0.896860078908503	0.289783982221376	Male.No	#7CAE00
#7CAE00	0.881620272486047	0.0931342919780449	Male.No	#7CAE00
#7CAE00	0.650585590438409	0.145686067132787	Male.No	#7CAE00
#C77CFF	0.814172811044211	0.904372858306901	Male.Yes	#C77CFF
#7CAE00	0.549838423220949	0.263401736420664	Male.No	#7CAE00
#F8766D	0.275293330661952	0.263006420890716	Female.No	#F8766D
#C77CFF	0.819389296187596	0.727980821139433	Male.Yes	#C77CFF
#7CAE00	0.59575176586143	0.381516312503002	Male.No	#7CAE00
#F8766D	0.39632152672857	0.230237393724647	Female.No	#F8766D
#7CAE00	0.658157405189492	0.257556375793435	Male.No	#7CAE00
#7CAE00	0.556665772656825	0.304274303923276	Male.No	#7CAE00
#7CAE00	0.791207691654563	0.123813954605298	Male.No	#7CAE00
#7CAE00	0.578888150101358	0.271907824176279	Male.No	#7CAE00
#C77CFF	0.788195484656502	0.62417153887112	Male.Yes	#C77CFF
#7CAE00	0.655310808596286	0.147564774379134	Male.No	#7CAE00
#00BFC4	0.436215025965463	0.682984071783721	Female.Yes	#00BFC4
#00BFC4	0.0965699782933701	0.769131254489449	Female.Yes	#00BFC4
#F8766D	0.182451424781572	0.0964951595630158	Female.No	#F8766D
#C77CFF	0.742570953697643	0.708972546017983	Male.Yes	#C77CFF
#C77CFF	0.897598520513963	0.74329999580302	Male.Yes	#C77CFF
#C77CFF	0.648635266602717	0.598744378171184	Male.Yes	#C77CFF
#C77CFF	0.758913744579662	0.825592023151165	Male.Yes	#C77CFF
#7CAE00	0.861602853136984	0.0941664007577029	Male.No	#7CAE00
#00BFC4	0.163065059110522	0.600385116243904	Female.Yes	#00BFC4
#00BFC4	0.179958983747797	0.888752249746837	Female.Yes	#00BFC4
#00BFC4	0.133167321539738	0.699749064970423	Female.Yes	#00BFC4
#00BFC4	0.35554720571434	0.648738518187945	Female.Yes	#00BFC4
#F8766D	0.145468932999806	0.421924164942042	Female.No	#F8766D
#C77CFF	0.627029357478022	0.601982778276909	Male.Yes	#C77CFF
#C77CFF	0.874873767776245	0.842305521565405	Male.Yes	#C77CFF
#C77CFF	0.835488662377677	0.721989065408707	Male.Yes	#C77CFF
#7CAE00	0.831235257485373	0.348893667317249	Male.No	#7CAE00
#00BFC4	0.261730502105572	0.720794824460013	Female.Yes	#00BFC4
#7CAE00	0.680037716572935	0.396805801428854	Male.No	#7CAE00
#F8766D	0.220143470405178	0.254442916167053	Female.No	#F8766D
#7CAE00	0.602069497531788	0.129402461631054	Male.No	#7CAE00
#7CAE00	0.903580129485239	0.0961069651794704	Male.No	#7CAE00
#F8766D	0.399309265342626	0.17093786360188	Female.No	#F8766D
#F8766D	0.38487664127553	0.375356680459597	Female.No	#F8766D
#7CAE00	0.875776015560735	0.310550654730336	Male.No	#7CAE00
#F8766D	0.235251858830452	0.4114501433955	Female.No	#F8766D
#F8766D	0.341820770535957	0.42040206102485	Female.No	#F8766D
#F8766D	0.442787333560938	0.136891032230448	Female.No	#F8766D
#7CAE00	0.669605285267938	0.224716808477586	Male.No	#7CAE00
#F8766D	0.345957997255027	0.149849151430482	Female.No	#F8766D
#7CAE00	0.671904169615697	0.327222446741706	Male.No	#7CAE00
#7CAE00	0.612473380243914	0.366103735075078	Male.No	#7CAE00
#F8766D	0.338545195165683	0.234623466872356	Female.No	#F8766D
#F8766D	0.0991694530980153	0.373092904856259	Female.No	#F8766D
#7CAE00	0.611643392508003	0.30713421665132	Male.No	#7CAE00
#F8766D	0.332354409027506	0.176759083077989	Female.No	#F8766D
#F8766D	0.411784244362603	0.344049310481006	Female.No	#F8766D
#7CAE00	0.8766403243115	0.442914627323096	Male.No	#7CAE00
#7CAE00	0.843084770932116	0.286209819161079	Male.No	#7CAE00
#F8766D	0.200712785040113	0.216735009866005	Female.No	#F8766D
#F8766D	0.246421095999804	0.0984892093322493	Female.No	#F8766D
#F8766D	0.377226835624738	0.346357502720573	Female.No	#F8766D
#F8766D	0.318631514906883	0.305679374882443	Female.No	#F8766D
#F8766D	0.116754948669537	0.397853574461558	Female.No	#F8766D
#F8766D	0.0949766817079348	0.363711034794423	Female.No	#F8766D
#F8766D	0.343900743194602	0.313852267932485	Female.No	#F8766D
#C77CFF	0.875267580998215	0.81766981089657	Male.Yes	#C77CFF
#F8766D	0.417857301336798	0.437834922647612	Female.No	#F8766D
#F8766D	0.209372368810529	0.0956475903195413	Female.No	#F8766D
#7CAE00	0.584897848692807	0.209512351842766	Male.No	#7CAE00
#7CAE00	0.901471916501495	0.195466959933666	Male.No	#7CAE00
#F8766D	0.11294999642467	0.190276236696677	Female.No	#F8766D
#F8766D	0.391751720231365	0.368006542663682	Female.No	#F8766D
#F8766D	0.42631114104932	0.122294669293544	Female.No	#F8766D
#F8766D	0.266830414702946	0.297321990301663	Female.No	#F8766D
#F8766D	0.435387445952405	0.344224361448803	Female.No	#F8766D
#7CAE00	0.841341531835496	0.284374063241888	Male.No	#7CAE00
#7CAE00	0.671496668491851	0.388375225392255	Male.No	#7CAE00
#7CAE00	0.639638570052656	0.153474398211322	Male.No	#7CAE00
#7CAE00	0.689882509410381	0.420480806211179	Male.No	#7CAE00
#7CAE00	0.553450671109286	0.209946554154158	Male.No	#7CAE00
#7CAE00	0.744083902967924	0.414715729315172	Male.No	#7CAE00
#7CAE00	0.567980874922465	0.269336765293371	Male.No	#7CAE00
#F8766D	0.237867540595206	0.387967851351608	Female.No	#F8766D
#7CAE00	0.756165570494803	0.324385903606361	Male.No	#7CAE00
#F8766D	0.220952762968161	0.272217350249941	Female.No	#F8766D
#F8766D	0.159626467322761	0.136488371952014	Female.No	#F8766D
#7CAE00	0.730904667722908	0.261010256511244	Male.No	#7CAE00
#7CAE00	0.697579479352994	0.262747175991535	Male.No	#7CAE00
#7CAE00	0.766315090216019	0.160399198701436	Male.No	#7CAE00
#F8766D	0.391292381185022	0.220801331780174	Female.No	#F8766D
#7CAE00	0.591384198347276	0.113644027066502	Male.No	#7CAE00
#00BFC4	0.168914251114157	0.755196775902401	Female.Yes	#00BFC4
#7CAE00	0.888857029547745	0.117605466734279	Male.No	#7CAE00
#7CAE00	0.843472646888007	0.153500284068286	Male.No	#7CAE00
#7CAE00	0.76783769747073	0.368116572160612	Male.No	#7CAE00
#00BFC4	0.105580631982196	0.634401595304635	Female.Yes	#00BFC4
#00BFC4	0.158830795013769	0.635890751399777	Female.Yes	#00BFC4
#C77CFF	0.739896375177936	0.778745552355593	Male.Yes	#C77CFF
#C77CFF	0.750461425716904	0.654893969608979	Male.Yes	#C77CFF
#C77CFF	0.803471881388263	0.691121660342271	Male.Yes	#C77CFF
#C77CFF	0.752124819057909	0.890827680937946	Male.Yes	#C77CFF
#C77CFF	0.893610975789753	0.762683575549586	Male.Yes	#C77CFF
#C77CFF	0.846217902207916	0.556457520970567	Male.Yes	#C77CFF
#C77CFF	0.772748236459765	0.592436463148757	Male.Yes	#C77CFF
#C77CFF	0.749113268726929	0.609489480033517	Male.Yes	#C77CFF
#00BFC4	0.181258732537654	0.734290053644641	Female.Yes	#00BFC4
#C77CFF	0.890764296308837	0.874688999473371	Male.Yes	#C77CFF
#C77CFF	0.580329552038827	0.624634432945062	Male.Yes	#C77CFF
#C77CFF	0.844598789953373	0.660557898523455	Male.Yes	#C77CFF
#C77CFF	0.774292806586759	0.674982373433357	Male.Yes	#C77CFF
#C77CFF	0.833804664456032	0.757040235383267	Male.Yes	#C77CFF
#C77CFF	0.815039866180582	0.793295971710574	Male.Yes	#C77CFF
#7CAE00	0.856670237484981	0.257414711808616	Male.No	#7CAE00
#00BFC4	0.452391821383075	0.787041566165333	Female.Yes	#00BFC4
#C77CFF	0.573298362422396	0.590181791562248	Male.Yes	#C77CFF
#00BFC4	0.143964881077409	0.69355017607185	Female.Yes	#00BFC4
#C77CFF	0.550633116117255	0.84734093668786	Male.Yes	#C77CFF
#C77CFF	0.556918479671532	0.580748294056816	Male.Yes	#C77CFF
#00BFC4	0.245937506837601	0.733757908371362	Female.Yes	#00BFC4
#C77CFF	0.564280679703436	0.904167607934637	Male.Yes	#C77CFF
#C77CFF	0.890252125195481	0.56758342962712	Male.Yes	#C77CFF
#C77CFF	0.571593469432132	0.774302008223127	Male.Yes	#C77CFF
#7CAE00	0.872860910116949	0.314234569414773	Male.No	#7CAE00
#C77CFF	0.655978142791851	0.565486921928823	Male.Yes	#C77CFF
#00BFC4	0.291346316225827	0.551711338995533	Female.Yes	#00BFC4
#00BFC4	0.280364270914685	0.741909098811448	Female.Yes	#00BFC4
#C77CFF	0.554046595045789	0.572239925238219	Male.Yes	#C77CFF
#C77CFF	0.796543490564959	0.790307645431974	Male.Yes	#C77CFF
#00BFC4	0.150116846050051	0.77084775260565	Female.Yes	#00BFC4
#00BFC4	0.447580135766078	0.584028997881846	Female.Yes	#00BFC4
#00BFC4	0.108453702774238	0.728490248237821	Female.Yes	#00BFC4
#C77CFF	0.716434096070853	0.866828672757203	Male.Yes	#C77CFF
#00BFC4	0.246140486814759	0.68265908812596	Female.Yes	#00BFC4
#C77CFF	0.645175160416825	0.841374523853036	Male.Yes	#C77CFF
#C77CFF	0.589028252288699	0.908906380476599	Male.Yes	#C77CFF
#C77CFF	0.58227261858569	0.895189997486093	Male.Yes	#C77CFF
#00BFC4	0.439656199294735	0.693663212386045	Female.Yes	#00BFC4
#C77CFF	0.549735440703278	0.81694207907739	Male.Yes	#C77CFF
#C77CFF	0.761502837931568	0.674801206385547	Male.Yes	#C77CFF
#7CAE00	0.630739788948135	0.28202112137594	Male.No	#7CAE00
#00BFC4	0.229945220391859	0.869436996819621	Female.Yes	#00BFC4
#00BFC4	0.115051598288119	0.769810940308327	Female.Yes	#00BFC4
#00BFC4	0.175578468733213	0.659376984546808	Female.Yes	#00BFC4
#C77CFF	0.675943256525153	0.671140075237914	Male.Yes	#C77CFF
#C77CFF	0.849219137464057	0.710272429849614	Male.Yes	#C77CFF
#C77CFF	0.828696710904213	0.89355980291624	Male.Yes	#C77CFF
#00BFC4	0.422956148924475	0.733630869198929	Female.Yes	#00BFC4
#C77CFF	0.752018361352384	0.811565754511817	Male.Yes	#C77CFF
#00BFC4	0.436088216999038	0.724277001212944	Female.Yes	#00BFC4
#C77CFF	0.876166190274737	0.666313839906996	Male.Yes	#C77CFF
#F8766D	0.236919532106681	0.362313251519068	Female.No	#F8766D
#C77CFF	0.612556096335704	0.562635332176631	Male.Yes	#C77CFF
#00BFC4	0.0917503019286827	0.726215993138877	Female.Yes	#00BFC4
#00BFC4	0.231088629331101	0.606367781080983	Female.Yes	#00BFC4
#7CAE00	0.598878568969667	0.326798668131232	Male.No	#7CAE00
#7CAE00	0.667780284261839	0.401975492015481	Male.No	#7CAE00
#00BFC4	0.291900685649704	0.715103653852235	Female.Yes	#00BFC4
#C77CFF	0.896933158774945	0.834907761266963	Male.Yes	#C77CFF
#C77CFF	0.62763175740838	0.857024542648684	Male.Yes	#C77CFF
#7CAE00	0.604662326333875	0.422198547219688	Male.No	#7CAE00
#7CAE00	0.725026992488314	0.392793991687623	Male.No	#7CAE00
#C77CFF	0.883473096500066	0.559975407763638	Male.Yes	#C77CFF
#7CAE00	0.603384596126323	0.175539574670521	Male.No	#7CAE00
#C77CFF	0.798443096351217	0.580968552438373	Male.Yes	#C77CFF
#C77CFF	0.71327957494015	0.748844218779017	Male.Yes	#C77CFF
#F8766D	0.420419009317729	0.382263497364792	Female.No	#F8766D
#7CAE00	0.681811911985278	0.363723069598729	Male.No	#7CAE00
#00BFC4	0.329098261554133	0.57270678141239	Female.Yes	#00BFC4
#C77CFF	0.71859764570201	0.85643163094805	Male.Yes	#C77CFF
#7CAE00	0.613532366400415	0.196642455221577	Male.No	#7CAE00
#F8766D	0.414935066195374	0.356040016663345	Female.No	#F8766D
